0,0,0
0.01,-0.005545131,-0.001806167
0.02,-0.006314939,-0.003864159
0.03,-0.007510013,-0.006311738
0.04,-0.008809015,-0.00918292
0.05,-0.010212567,-0.012511991
0.06,-0.011721571,-0.016333622
0.07,-0.013337273,-0.020683005
0.08,-0.015061317,-0.025596006
0.09,-0.016895817,-0.031109353
0.1,-0.018843433,-0.037260847
0.11,-0.020907456,-0.044089616
0.12,-0.023091908,-0.051636392
0.13,-0.025401647,-0.059943844
0.14,-0.027842495,-0.069056954
0.15,-0.030421385,-0.079023447
0.16,-0.036153932,-0.092864051
0.17,-0.040877853,-0.10925895
0.18,-0.047820452,-0.129656628
0.19,-0.053563249,-0.152761814
0.2,-0.0598493,-0.178658818
0.21,-0.066773131,-0.207435588
0.22,-0.074453835,-0.23918244
0.23,-0.083039112,-0.273986077
0.24,-0.089377364,-0.310840578
0.25,-0.09978496,-0.350965134
0.26,-0.107437537,-0.393315309
0.27,-0.115624449,-0.437890365
0.28,-0.124330085,-0.484637758
0.29,-0.133519852,-0.533440703
0.3,-0.143137127,-0.584106343
0.31,-0.153101748,-0.636356401
0.32,-0.163311008,-0.689822725
0.33,-0.173643999,-0.744050389
0.34,-0.183969761,-0.798510658
0.35,-0.194158798,-0.852624968
0.36,-0.204096482,-0.905799063
0.37,-0.213695864,-0.957463905
0.38,-0.222906966,-1.007117666
0.39,-0.231720219,-1.054361949
0.4,-0.240163151,-1.098926062
0.41,-0.248291366,-1.140675623
0.42,-0.256176365,-1.17960532
0.43,-0.263893305,-1.215818906
0.44,-0.271511174,-1.249501606
0.45,-0.279086687,-1.280890417
0.46,-0.286661866,-1.310246815
0.47,-0.294264479,-1.33783463
0.48,-0.301910181,-1.363904146
0.49,-0.309605341,-1.388682174
0.5,-0.317349818,-1.412367101
0.51,-0.325139336,-1.435127633
0.52,-0.332967282,-1.457104011
0.53,-0.340825988,-1.478410663
0.54,-0.348707555,-1.499139549
0.55,-0.356604348,-1.519363665
0.56,-0.364509253,-1.539140386
0.57,-0.372415786,-1.558514481
0.58,-0.380318107,-1.577520704
0.59,-0.38821098,-1.596185976
0.6,-0.396089711,-1.614531158
0.61,-0.403950078,-1.632572482
0.62,-0.411788259,-1.650322665
0.63,-0.419600771,-1.667791788
0.64,-0.427384418,-1.684987964
0.65,-0.435136242,-1.701917845
0.66,-0.442853489,-1.718587004
0.67,-0.45053358,-1.735000221
0.68,-0.458174088,-1.751161694
0.69,-0.46577272,-1.767075191
0.7,-0.473327304,-1.782744168
0.71,-0.480835782,-1.798171845
0.72,-0.488296194,-1.813361273
0.73,-0.495706681,-1.828315373
0.74,-0.503065476,-1.843036969
0.75,-0.510370901,-1.857528811
